company_name,percent
AMERICAN ADVISORS GROUP,95.309999999999988
AMERICAN ARMED FORCES MUTUAL AID ASSOCIATION,100
"AMERICAN BANCSHARES MORTGAGE, LLC",75
AMERICAN EAGLE MORTGAGE COMPANY,100
AMERICAN EQUITY MORTGAGE,96.3
AMERICAN EXPRESS COMPANY,99.99
AMERICAN FAMILY FUNDING GROUP Inc.,100
AMERICAN FEDERAL MORTGAGE CORPORATION,80
AMERICAN FINANCIAL MORTGAGE COMPANY,20
AMERICAN FINANCING CORPORATION,83.72
"AMERICAN HOME MORTGAGE, INC.",100
AMERICAN HONDA FINANCE CORP,98.550000000000011
AMERICAN INTERNET MORTGAGE,81.16
AMERICAN MIDWEST MORTGAGE,100
"AMERICAN MORTGAGE AND INVESTMENT SERVICES, INC.",100
AMERICAN NEIGHBORHOOD MORTGAGE,82.43
AMERICAN PACIFIC MORTGAGE,98.18
AMERICAN PORTIFOLIO MORTGAGE,86.67
AMERICAN SECURITY MORTGAGE CORPORATION,75
AMERICAN SOUTHWEST MORTGAGE CORP.,66.67
AMERICASH,37.5
"AMERICONSULTANTS, LLC",0
"AMERIFIRST FINANCIAL, INC.",89.29
"AMERINATIONAL COMMUNITY SERVICES, INC.",97.37
"AMERIPRO FUNDING, INC.",75
AMERIS BANCORP,94.48
AMERISAVE MORTGAGE CORPORATION,97.8
AMRON PROFESSIONAL SERVICES,0
ANDERSON FINANCIAL GROUP,100
"ANI International, Inc",100
"ANSELL GRIMM & AARON, P.C.",0
"APEX Asset Management, LLC",51.370000000000005
APEX HOME LOANS,100
APG Financial Inc,100
APLUS INSTACASH LLC dba A+ FINANCE,100
APO LLC,100
"APPLE FINANCIAL HOLDINGS, INC.",88.81
APPLE RECOVERY SERVICES CORP,78.57
"APPLE RECOVERY, LLC",74.070000000000007
"AR Audit Services, Inc",81.820000000000007
"AR Resources, Inc.",96.52
"AR Resources, Inc. (FL)",100
AR Solutions Inc,92.31
"AR1 MORTGAGES, INC",100
ARAKI-REGAN & ASSOCIATES LLC,100
ARBOR MORTGAGE,50
"ARC Management Group, LLC",74.81
ARC Services,28.57
ARM Professional Services LLC,100
ARM WNY LLC,70.679999999999993
ARP & Associates LLC,100
"ARS National Services, Inc.",96.83
"ARVEST BANK GROUP, INC.",99.22999999999999
ASAP Credit Repair,100
ASG Solutions LLC,69.23
ASPIRE FINANCIAL INC.,64
ASSOCIATED BANC-CORP,100
ASSOCIATED MORTGAGE BANKERS IN,80
ASSOCIATED MORTGAGE CORP,100
"ASSURANCE FINANCIAL GROUP, LLC",100
ASTA FUNDING INC.,95.05
ASTORIA BANK,100
AT&T,0
"ATG Credit, LLC",98.64
"ATHAS CAPITAL GROUP, INC.",86.67
"ATKB PORTFOLIO MANAGEMENT, LLC",100
ATLANTIC BAY MORTGAGE GROUP LLC,95.83
"ATLANTIC COAST FINANCIAL SERVICES, INC.",100
"ATLANTIC COAST MORTGAGE, LLC",100
ATLANTIC HOME LOANS INC.,100
ATLANTIC PACIFIC MORTGAGE CORP,69.57
"AUDIT SYSTEMS,INC",100
AUDUBON LIBERTY & ASSOCIATES,0
AURORA FINANCIAL GROUP INC,100
"AUSSRQ Holdings, LLC",100
"AUTOMATED RECOVERY SYSTEMS, INC",0
AUTOMOBILE ACCEPTANCE CORPORATION,98.94
AUTOMOTIVE CREDIT CORPORATION,90.3
AVANTE,96.93
"AXIA FINANCIAL, LLC",100
"AXIS FINANCIAL SERVICES, INC.",100
"AXOS FINANCIAL, INC.",99.6
"AZ Home Loans, LLC",100
"AZ LENDING EXPERTS, LLC",100
"Aargon Agency, Inc.",91.710000000000008
Aaron Worldwide Collections Inc.,80
Abbey Mortgage of Ocala Inc.,100
"Abendroth and Russell, P.C.",0
"Ability Recovery Services, LLC",99.4
Able Mortgage,0
"Above Lending, Inc.",75
Abra,80
Abrahamsen Gindin LLC,66.67
"Abrahamsen Ratchford, P.C",44
Absolute Collections Corp.,84.21
Absolute Home Mortgage Corporation,72.72999999999999
"Absolute Mortgage Company, Inc.",36.36
"Absolute Recovery Services, LLC",95.65
Absolute Resolutions Corp.,92.14
Absolute investment Group,0
"Academic Solutions of New York, LLC",50
Academy Mortgage Corporation,99.32
Academy Mortgage Corporation (NY),100
"Accel Loans, LLC",100
"Accelerate Mortgage, LLC",100
"Accelerated Creditors Services, Inc",88.89
"Accelerated Financial Solutions, LLC",84.41
"Accelerated Portfolio, Inc.",50
"Accelerated Receivables Management, Inc.",1.47
Accelerated Receivables Solutions,95.65
"Accelerated Recovery Services, Inc",100
"Accelerated Revenue, Inc.",100
Accelerated Servicing Group LLC,38.46
"Acceptance Rentals, Inc.",66.67
"Acceptance Solutions Group, INC",89.55
"Access Auto Group, Inc.",100
"Access Capital Services, Inc.",61.29
"Access Credit Management, Inc.",87.5
Access Financial LLC,54.55
Access Loan Services Inc.,0
Access Receivables of NC Inc.,98.04
"Accord Business Funding, LLC",40
Account Brokers Inc.,22
Account Control Bureau,72.72999999999999
"Account Control Services, Inc",50
"Account Control Systems, Inc",84.21
"Account Control Technology, Inc.",99.51
"Account Discovery Systems, LLC",95.92
Account Information Management Corporation,100
Account Liquidation Services Inc.,94.740000000000009
Account Management Resources,94.85
"Account Management Services, Inc.",91.43
"Account Managers, Inc.",91.89
"Account Outsourcing Group, LLC",16.669999999999998
"Account Recovery Service, Inc. (WI)",0
"Account Recovery Services, Inc.",92.86
"Account Recovery Services, Inc. (Texas)",100
"Account Recovery Specialists, Inc.",97.960000000000008
Account Resolution Corporation,100
"Account Services Collections, Inc",97.87
Accountant Exchange Group,0
Accounts Interchange Group LLC,100
"Accounts Management, Inc",86.67
Accounts Receivable Consultants Inc.,87.5
Accounts Receivable Inc.,100
"Accounts Receivable Management, Inc (NJ) (Closed)",98.72
Accounts Receivable Services,58.330000000000005
"Accounts Receivables, Inc. (FL)",100
Accounts Recovery Agency Inc.,0
"Accounts Research, Inc.",100
"Accredited Collection Service, Inc.",77.27000000000001
"Accredited Land Transfer Col, Inc.",100
"Accscient, LLC",0
Accudata Credit Systems LLC,80
Accurate Background,85.14
Accurate Financial Partners,94.87
Accurate Financial Services,100
Ace Motor Acceptance Corporation,28.57
Acer Capital Recovery LLC,100
Acknowledge Debt Resolutions,100
"Acquired Assets, Ltd.",100
"Acra Intermediate Holdings, LLC",100
"Acrisure Mortgage Partners, LLC",100
"Action Collection Agencies, Inc.",80
Action Collection Service,98.65
Action Collectors Inc.,100
"Action Credit, LLC",60
Action Finance Inc.,100
"Action Financial Services, LLC",97.61999999999999
"Action One Mortgage Banker, LLC",100
"Action Professionals, Inc.",75
Action Rent To Own,100
"Action Revenue Recovery, LLC",100
Activehours,61.019999999999996
Activity Collection Service,0
Activo Corp,100
Activus Corporation,100
Ad Astra Recovery Services Inc,100
"Adela, Inc",100
"Adelante, Inc",100
"Adler Wallach & Associates, Inc.",94.55
"Admin Recovery, LLC",98.1
"Admiral Holdings, LLC",100
"Adobe Settlement Group, LLC",50
"Adsen & Associates, LLC",50
"Advance America, Cash Advance Centers, Inc.",97.15
Advance Bureau of Collections,96.61
"Advance Paychecks,  LLC",50
"Advance Title & Abstract, Inc.",100
"Advance Title and Loans, LLC",100
"Advanced Call Center Technologies, LLC",92.86
"Advanced Collection Bureau, Inc.",100
"Advanced Collection Services, LTD",22.220000000000002
"Advanced Collections, Inc.",87.5
Advanced Credit Management,100
Advanced Financial Company,83.33
"Advanced Loan Systems, LLC.",100
Advanced Portfolio Group LLC,75
Advanced Professional Group,100
"Advanced Recovery Systems, Inc.",76.19
"Advanced Recovery Systems, Inc. (PA)",100
Advanced Resolution Services Inc.,99.16
"Advansse, Inc",50
"Advantage Auto Sales, Inc.",100
"Advantage Collection Professionals, Inc.",100
Advantage Credit Bureau Inc.,100
"Advantage Credit Counseling Service, Inc.",100
"Advantage Credit, Inc.",100
Advantage Finance LLC,100
Advantage Financial Service LLC (Idaho),91.67
"Advantage Financial Services of Covington, LLC",0
"Advantage Financial Services, LLC",80
"Advantage One Credit, LLC",0
"Advantage Plus Credit Reporting, Inc.",100
"Advantage Recovery Group, Inc",100
AdvantageFirst Lending Inc.,100
"Advent Financial Systems, LLC",100
Advise Solutions Services LLC,85.71
"Advocates Professional Services, Inc.",100
"Aequitas Capital Opportunities Fund, LP",90.91
"Affiliate Asset Solutions, LLC",100
Affiliated Acceptance Corporation,96.23
"Affiliated Collection Services, LLC",84.21
"Affiliated Creditors, Inc.",64
Affiliated Management Services,84.61999999999999
Affiliates Management Company,40
"Affinity Mortgage, L.L.C.",100
"Affirm Holdings, Inc",99.65
Affordable Financial Solutions,100
Affordable Interest Mortgage,0
"Afterpay US Services, LLC",100
Agency of Credit Control,92.589999999999989
Aiden & Bodley  Enterprise,100
Airtm Inc.,100
Alabama Housing Finance Authority,56.93
Alacrity Collections Corporation,100
Alamo Premier Mortgage Group Inc,100
"Alaska Cascade Financial Services, Inc.",25
"Alavi Law, PLLC",0
Albert Corporation,100
"Albert E. Acuna, P.A.",50
Albuquerque Auto Outlet,100
"Alco Capital Group, LLC",75
"Alco Collections, Inc.",82.35
"Aldous & Associates, PLLC",90.89
"Aldridge Pite Haan, LLP",100
"Aldridge Pite, LLP",100
Alegria Auto Sales,100
"Alessi & Koenig, LLC",0
"Alisa Katz Campbell, P.C.",66.67
"All American Check Cashing, Inc.",50
"All American Title Co., Inc",100
"All Credit Considered Mortgage, Inc.",100
All Debt Solutions Inc. dba: 1st Class Agency,100
"All Home Lending, Inc.",100
"All Kind Check Cashing, Inc.",0
"All Reverse Mortgage, Inc.",100
"All State Credit Bureau, Inc.",100
Allarin Professional Group LLC,50
"Allegiance Accounting Services, LLC",0
Allegiant Capital Recovery LLC,84.38
"Allegiant Receivables Solutions, Inc",100
Allen & Withrow,94.12
Allen Tate Mortgage Services,37.5
Alleviate Financial LLC,100
"Allgate Financial, LLC",98.78
Alliance Acceptance Corp.,100
"Alliance Asset Management, Inc (Closed)",89.29
"Alliance CAS, LLC",91.67
"Alliance Collection Agencies, Inc.",100
Alliance Collection Service,100
"Alliance Credit Counseling, Inc.",100
"Alliance Credit Services, Inc.",100
Alliance Group & Associates LLC,54.290000000000006
"Alliance One, Inc.",99.18
Alliance Recovery Group,0
Alliant Capital Management LLC,99.59
"Allied Account Services, Inc.",100
Allied California,0
"Allied Collection Service, Inc. (Indiana)",100
"Allied Collection Services, Inc. (Nevada)",97.25
Allied Consulting Services LLC,100
Allied Credit Consultants,0
Allied Data Corporation,42.86
"Allied Fidelity Services, LLC",100
Allied Financial Group & Associates (Closed),50
"Allied International Credit Corp., (US)",100
"Allied Recovery Solutions, Inc.",100
Allied Servicing Corporation,94.12
Alorica Inc.,94.88
"Alpha Mortgage, LLC",100
Alpha Recovery Corp,92.24
"Alpha Title, LLC",0
"Alpine Capital Investments, LLC",100
"Alpine Credit, Inc",81.820000000000007
"Alpine Financial Solutions, Inc.",14.29
"Alpine Mortgage Services, LLC",100
Alternative Collections LLC,84.61999999999999
"Alternative Finance Company, LLC",50
Alternative Resource Services Inc,100
"Alternative Revenue Systems, Inc",25
"Altisource Portfolio Solutions, S.à r.l.",99.41
Altitude Community Law P.C.,100
"Alum Financial, LLC",0
Alvamar Financial,0
AmNet ESOP Corporation,100
AmOne Corp.,50
AmWest Funding Corp.,100
Amati & Associates LLC,0
"Ambassador Mortgage, LLC",100
"Amcap Investments, LLC",96.97
"AmerAssist A/R Solutions, Inc.",29.68
AmeriCash Holding LLC,99.22
AmeriCollect,99.76
AmeriFirst Financial Corporation,85.42
"AmeriHome Mortgage Company, LLC",98.76
AmeriPay Corporation,0
"America Transfers, Inc.",0
"America Trust Funding-Mortgage, Bankers LLC",100
"America's Mortgage Center, LTD.",0
"America's Mortgage Lender, L.L.C.",0
"American 1st Rate Mortgage, LLC",0
"American Acceptance Co., LLC",0
American Acceptance Corp. of South Carolina,100
"American Accounts & Advisers, Inc.",98.740000000000009
"American Asset Recovery, Inc (CA)",0
American Billing & Collection,0
"American Capital Enterprises, Inc.",93
"American Capital Mortgage, Inc",100
American Capital Recovery LLC,100
"American Collection Services, Inc. (OK, TX)",100
"American Collection Systems, Inc.",100
"American Collection Systems, Inc. (OH)",25
"American Collections Enterprise, Inc.",99.69
"American Consumer Credit Counseling, Inc.",100
American Coradius International LLC,100
American Credit - Credit Repair Centers,100
"American Credit Acceptance, LLC",94.81
American Credit Adjusters,75
"American Credit Bureau, Inc.",96.72
"American Credit Exchange, Inc",100
American Credit Financial,88.89
"American Credit Resolution, Incorporated",80.95
"American Credit Systems, Inc",100
"American Cycle Finance, Inc.",100
American Debt Consolidation,100
"American Debt Services, LLC",25
"American Elite Recovery, LLC",12.5
"American Enterprises International, Inc.",100
"American Fidelity Mortgage Services, Inc.",50
American Finance House Lariba,0
American Finance LLC,91.67
"American Financial Credit Services, Inc.",91.67
"American Financial Lending, Inc.",100
"American Financial Mortgage Services, Inc.",100
American Financial Network Inc.,89.759999999999991
"American Financial Resources, Inc.",90.12
"American First Finance, Inc.",97.89
"American First Financial Services, Inc.",100
"American Heritage Capital, LP",100
"American Home Funding, Inc.",100
"American Homestead Mortgage, LLC",0
"American International Finance, Inc.",100
American Lending LLC,0
"American Lending Solutions, LLC",0
"American Liberty Mortgage, Inc.",66.67
American Location Specialists,100
American Mediation,0
American Mortgage Inc.,100
American Mortgage Investment Partners Fund I Trust,37.5
American Mortgage Partners Inc.,100
American Mortgage Service Company,100
"American Mortgage Services,  Inc",50
American Northwest Recovery Solutions Inc,100
"American Payment Holdco, Inc.",84.21
American Preferred Lending,100
American Professional Collections,66.67
"American Profit Recovery, Inc., Marlborough, MA Branch",97.350000000000009
"American Receivables Agency, LLC",100
American Recovery Service Incorporated,97.5
American Reporting Company,20
"American Revenue Management, Inc.",100
"American Settlement Funding, LLC",100
American Student Assistance,94.210000000000008
American Student Loan Advocates,100
American Tax Holding LLC,66.67
American Title Corp,100
American Title Managers LLC,100
"American Trst Company, Inc.",100
American United Mortgage Corporation,100
"Americas Car-Mart, Inc.",100
"Americas Mortgage Professionals, LLC",100
"America’s Financial Choice, Inc.",50
"Americor Funding, LLC",87.929999999999993
"Amerifinance, Inc.",60
Amerifund Home Mortgage LLC,100
Ameritech Financial,9.22
Amerivest Mortgages,0
Amigos Préstamos,100
Amity Associates LLC,0
"Amos & Muffoletto, LLC",100
Amos Financial LLC,72.22
Amplicon LLC,0
"Amplify Revenue Solutions, LLC",100
Amscot Corporation,100
"Amsher Collection Services, Inc.",97.72999999999999
"Anchor Financial, Inc.",100
"Anchor Loans, Inc.",50
"Anchor Mortgage, LLC",100
"Anderson and Associates Credit Services, LLC",85.71
"Andesite Finance Company, LLC",50
"Andover Auto Sales, Inc. D.B.A. Broadway Auto Mall",100
"Andrea Visgilio-McGrath, LLC",100
"Andreu, Palma & Andreu, PL",98.33
"Andrews & Cox, P.C.",96.67
"Andrews Law Firm, PLLC",100
Andy Bowers & Associates LLC,100
Angel Oak Home Loans LLC,100
Angel Oak Mortgage Solutions LLC,86.67
Anselmo Lindberg Oliver LLC,100
Anthony J. Musto,100
"Apelles, LLC",100
Apex Advising LLC DBA Apex Credit Fix,100
"Apex Funding Group, Inc.",100
Apex Mortgage LLC,87.5
Apex Processing,66.67
Apex Resolution Group LLC,33.33
"Apothaker & Associates, PC",91.11
"AppFolio, Inc.",100
Appalachian Lending Corporation,0
"Apple Law Group, Inc.",0
Applewood Funding Corporation,100
"Applied Business Services, Inc.",82.35
"Applied Data Finance, LLC",98.31
Applied Resolutions Group,64.29
Approved Mortgage Corporation,50
"Approved Mortgage Source, LLC",100
"Aqua Finance, Inc.",54.55
Arapahoe Motors,60
"Arbor Professional Solutions, Inc.",100
Arbor Residential Mortgage LLC,94.88
"Arcadia Holdings, LLC",83.89
Arco Collection Services LLC,36.36
Arcon Credit Solutions LLC,100
Arcstone Financial Inc.,100
Ardmore Finance Corporation,100
"Arena Investors, LP",100
Arete Financial Group,9.86
"Argolica, LLC",100
Argon Credit,57.69
Arias Bosinger,100
Aries Loans Inc,100
"Aristocrat Title, LLC",0
"Arivo Acceptance, LLC",100
"Ark Law Group, PLLC",100
"Ark-La-Tex Financial Services, LLC",97.56
Armada Corp.,97.61999999999999
"Armand Law Group, PLLC.",100
Armcon Corp,98.31
Armed Forces Loans of Nevada Inc.,97.22
"Armin, O'Conner & Boch, LLC",0
Armor Systems Corporation,100
"Armstrong and Associates, Inc",100
Army and Air Force Exchange Service,83.62
"Arnold Scott Harris, P.C.",99.32
"Arthur B. Adler & Associates, Ltd",0
"Arundina, LLC",100
"Ascend Consumer Finance, Inc.",28.57
Ascend One Corporation,0
Ascendium Education Group,98.36
"Ascension Point Recovery Services, LLC",100
Ascension Recovery Management,100
Ascent Holding Co,62.5
"Ashfield Management Services Inc,",50
Ashner Group Inc,50
"Ashton & Weinberg, Inc.",73.33
Ashwood Financial Inc,100
Aspen Home Mortgage Group,100
"Aspen National Financial, Inc.",100
"Aspen Properties Group, LLC",100
Aspen Yo LLC,89.539999999999992
Assent Inc.,28.57
"Asset Acquisition Group, LLC",83.33
Asset Collections Inc,100
"Asset Law Group, P.C.",50
"Asset Management Holdings, LLC",42.86
"Asset Management Outsourcing, Inc.",100
"Asset Management Professionals, LLC",91.18
"Asset Maximization Group, Inc.",100
Asset Mediation Partners LLC,0
"Asset One Mortgage, Inc.",100
"Asset Pursuit, LLC",100
Asset Recovery Bureau LLC,100
"Asset Recovery Group, Inc.",91.89
Asset Recovery Inc,58.330000000000005
"Asset Recovery Solutions, LLC",87.960000000000008
AssetRecoveryplus,100
"Assets Recovered, LLC",100
Assigned Credit Solutions,44.440000000000005
"Associated Collectors, Inc.",100
"Associated Credit Services, Inc.",98.92
Associated Management Company Inc,100
"Associated Management Services, Inc..",100
Associates Financial Solutions Inc,100
Associates International Holdings Corporation,50
"Associates Title, Inc.",50
"Association Capital Resources, LLC",42.86
Association Collection Services LLC,0
"Association Financial Services, LLC",75
Assured Financial LLC,100
Assured Financial Partners,97.92
Astra Business Services,11.540000000000001
"Aswad & Ingraham, LLP",50
Athena Bitcoin Inc,100
"Atkins & Ogle Law Offices, LC",50
"Atlanta Check Cashers, Inc",80
"Atlantic Collection Agency, Inc.",100
"Atlantic Credit & Finance, Inc.",99.22
Atlantic Mortgage Direct LLC,50
"Atlantic Mortgage and Funding, Inc.",100
Atlantic Recovery Solutions LLC,98.740000000000009
"Atlantic Union Bankshares, Inc.",100
"Atlantica, LLC",100
Atlanticus Services Corporation,75.6
"Atlantis Financial Group, Inc",100
"Atlantis National Services, Inc.",100
Atlas Acquisitions LLC,100
"Atlas Capital, Inc.",100
Atlas Collections Inc. (of New Castle),57.14
"Atlas Credit Company, Inc.",98.82
Atlas Finance LLC,100
"Atlas Mortgage Partners, LLC",100
"Atlas Services, Inc.",91.67
"Aubrey Thrasher, LLC",100
Audit & Adjustment Co. Inc.,85.71
Audubon Holdings Group,33.33
Audubon Solutions LLC DBA Titan Portfolio Management Group,100
"August Real Estate Investments, LLC",88.89
"Augusta Collection Agency, Inc.",92.65
"Augusta Financial, Inc.",100
Aura Mortgage Advisors LLC,90.91
"Aurora Enterprises, Inc.",75
"Aurora Financial, LLC",92.31
"Auto Acceptance, LLC",12.5
"Auto Advantage Finance, LLC",89.47
Auto Buyers Credit LLC,0
"Auto Credit Corporation of Jonesboro, iNC.",100
Auto Credit of Southern Ilinois,100
Auto Finance Center,50
"Auto Masters, LLC",20
"Auto Now Financial Services, Inc., Phoenix, AZ Branch",86.36
Auto One Acceptance LLC,16.669999999999998
"Auto Pro Title Pawn, Inc.",100
"Auto Properties II, LLC",5.88
"Auto Trakk, LLC",98.67
"AutoBank Financial, LLC",100
"AutoMoney, Inc.",89.47
"AutoStar Finance, Inc - D/B/A Atlanta AutoStar",100
Autoflex Leasing - Dallas I LLC,100
Automated Accounts Management Services,100
"Automated Accounts, Inc.",93.75
"Automated Collection Services, Inc.",96.82
"Automated Recovery Systems of New Mexico, Inc",100
"Automatic Data Processing, Inc.",95.5
"Automatic Financing, Inc.",100
Automotive Financial Services,100
"Automotive Funding Group, Inc",0
"Automotive Leasing Specialists, L.L.C.",100
"Automotive Management Services, Inc.",33.33
Automotive Partners Funding,100
"Automotive Services Finance, Inc.",80
"Autovest, L.L.C.",93.44
"Avadyne Health Holdings, Inc",96.34
"Avalanche Title and Escrow, LLC",0
Avant Credit Corporation,98.89
"Avant Holding Company, Inc.",98.27
Avanta Recovery Services,0
"Avantus, LLC",100
Avenify Corporation,100
"Avid Acceptance, LLC",94.320000000000007
"Avrutis & Foeller, P.A.",83.33
Awar Holding Inc.,7.6899999999999995
"Axela Technologies, Inc",87.5
"Azcar Capital, Inc.",100
B & B FINANCIAL SERVICES INC,55.559999999999995
"B&B Funding, LLC",70.59
B&F Finance Corp.,88.89
B-Focused Mobile LLC,100
"B9, Inc.",80
BAKER GOVERN & BAKER INC,66.67
"BALANCED HEALTHCARE RECEIVABLES, LLC",68.25
"BAM Financial, LLC",50
BAM Management US Holdings Inc.,91.34
"BANC OF CALIFORNIA, INC.",100
BANC ONE MORTGAGE CORPORATION,100
BANCO POPULAR DE PUERTO RICO,99.77000000000001
BANCORPSOUTH BANK,96.94
"BANK OF AMERICA, NATIONAL ASSOCIATION",97.02
BANK OF HAWAII CORPORATION,98.17
"BANK OF NEW YORK MELLON CORPORATION, THE",98.49
BANK OF THE WEST,96.61
BANK OZK,100
