company_name,percent
"Cianfrone, Nikoloff, Grant, & Greenberg, P.A.",0
"Ciconte Wasserman Scerba & Kerrick, LLC",0
Cimmaron Escrow Inc.,60
Circle Internet Financial,78.08
"Circleback Lending, Inc.(Closed)",100
"Citi Management Group, LLC",42.620000000000005
Citizens Debt relief LLC,100
"Citizens Savings & Loan Corporation, Chattanooga, TN Branch",100
"City Enterprises, LLC",88.89
City First Mortgage Corp,100
"City First Mortgage Services, LLC.",50
"Citywide Mortgage Associates, Inc.",100
"Civic Financial Services, Inc.",0
"Claims Recovery Systems, Inc.",0
"Clarfield, Okon, Salomone and Pincus, P.L.",57.14
Clarity Services,91.13
Clark County Collection Service,99.56
"Clarkson Law Firm, LLC",100
Clarksville Mortgage Corporation,100
Class AMC Intermediate,100
Class Financial,100
Clay Chapman Iwamura Pulice & Nervell,63.639999999999993
Clayton Holdings LLC,40
"Clear Debt Solutions, LLC",65.77
Clear Lending Corp,100
"Clear Mortgage Capital, Inc.",100
"Clear Recovery, Inc.",93.75
Clear Start Today,50
"Clear Title Solutions, Inc.",100
"ClearBalance Holdings, LLC",100
ClearLine Loans LLC,100
"ClearOne Advantage, LLC",92.97999999999999
ClearPath Lending,89.8
Clearview Resolution Services,75.86
Cleveland Mortgage Corporation,100
"Click n' Close, Inc.",52.629999999999995
Client Financial Services of Michigan LLC,100
"Client Services, Inc.",100
"Cliff's Finance Co., Inc.",50
"Clifton Mortgage Services, LLC",50
Climb Credit Inc.,84.21
"ClosingMark Financial Services, LLC",100
"Cloud Willis & Ellis, LLC",66.67
"Clunk Hoose Co., LPA",100
"Co-Operative Adjustment Bureau, Inc.",94.740000000000009
"Coast 2 Coast Financial Group, LLC",100
Coast Acceptance Corporation,100
Coast Collection Agency Inc,25
Coast to Coast Commercial Collection,33.33
"Coast to Coast Financial Solutions, Inc.",73.39
"Coast2Coast Mortgage, LLC",100
Coastal Bend Loans,100
"Coastal Capital Processing, LLC",50
"Coastal Credit, LLC",83.06
"Coastal Finance Company, Inc.",91.67
"Coastal Financial Solutions, LLC",78.57
Coastal Settlement Recovery Inc.,40
"Coastline Financial Resources, LLC",30.61
Cobalt Mortgage,63.639999999999993
"Cochren Bailey & Associates, LLC",80
Coconut Point Finance,100
"Codilis & Stawarski, P.C.",75
"Cody Barden Daniels & Palo, Inc. dba The Commercial Agency",100
"Cogent Road, Inc.",84.38
Cognition Financial Corporation,100
Cohen & Associates,0
Cohen Kaplan Tulowitz LLC,100
"Cohen McNeile & Pappas, PC",100
"Cohen, Roberts & Associates, LLC",75
"Cohn, Goldberg & Deutsch,LLC",100
"CoinZoom, Inc.",100
"Coinbase, Inc.",99.79
Coldwater Mediation Group LLP,0
Collaborative Resolution Group,0
"CollectPark, LLC",100
Collectibles Management Resources,100
"Collection Associates, Ltd.",97.72999999999999
"Collection Bureau Services, Inc.",75
Collection Bureau of America Ltd.,71.179999999999993
"Collection Bureau of Fort Walton Beach, Inc",93.85
"Collection Bureau of Kansas, Inc.",94.12
"Collection Bureau of Little Falls, Inc.",100
Collection Bureau of Walla Walla,88
"Collection Bureau of the Hudson Valley, Inc.",99.5
Collection Center Inc,76
Collection Consultants of California,81.98
"Collection Information Bureau, Inc.",94.77
Collection Management Company,96.88
"Collection Management Holdings, LLC",100
"Collection Management Services, Inc.",92.11
"Collection Professionals, Inc.",97.009999999999991
"Collection Professionals, Inc. (Macomb, IL)",78.259999999999991
"Collection Receivables, Inc.",97.22
"Collection Resources, Inc.",73.91
"Collection Service Center, Inc.",98.65
Collection Service of Nevada,86.89
"Collection Service, Inc.",85.71
"Collection Services, Inc.",95
Collection Solutions Inc.,66.67
Collection Specialists,33.33
"Collection Specialists, Inc.",50
Collection Technology Incorporated,86.89
"Collection at Law, Inc. A.P.C.",83.33
"Collections & Recoveries Of Pleasantville, Inc.",0
"Collections Acquisition Company, Inc.",98.58
Collections Inc,100
College Assist,100
"College Ave Student Loan Servicing, LLC",98.25
"College Foundation, Inc.",100
College Lending Solutions of Salem,0
College Loan Corporation,85.71
"Collexx, Inc.",100
"Collins & Hilton Asset Group, LLC",92.27
Colonial Mortgage Service Co. Of America,66.67
"Colony Brands, Inc.",69.26
"Colorado Capital Investments, Inc.",0
"Colten Mortgage, LLC",100
"Columbia Collection Service, Inc.",73.77
Columbia Collectors Inc,50
"Columbia Credits, Inc",25
Columbia Recovery Group LLC,55.71
"Columbus Capital Lending, LLC, Miami, FL Branch",25
Columbus Finance Inc.,85.71
Comenity Bank,50
Comenity Capital Bank,0
Comerica,99.550000000000011
Commerce Credit Corp.,50
"Commerce Home Mortgage, Inc",84.38
Commercial Acceptance Company,93.97999999999999
Commercial Credit Counseling Services Inc.,33.33
"Commercial Industries Services Company, Inc.",75
Commercial Recovery Systems,45.410000000000004
"Commercial Research & Recovery, Inc.",100
"Commercial Trade, Inc.",100
Commercial and Medical Credit Services,100
Common Wealth Mortgage Services,94.12
"CommonBond, Inc.",78.95
"Commonwealth Auto Credit, LLC",100
"Commonwealth Financial Systems, Inc.",95.5
Commonwealth Health Corporation,92.5
Community Cash Management Corp.,86.67
"Community Credit of Leeds, Inc.",100
"Community Health Investment Company, LLC.",100
Community Home Lending,0
Community Housing Council of Fresno,100
"Community Lending of America, Inc.",100
"Community Loan Fund of New Jersey, Inc",66.67
"Community Loan Servicing, LLC (formerly known as Bayview Loan Servicing, LLC)",98.59
Como Law Firm P.A.,93.33
"Compass Recovery Group, LLC",97.5
"Compattia Roccia Management Group, LLC",100
"Complete Care, Inc.",0
"Complete Collection Services, Inc.",100
"Complete Credit Solutions, Inc.",97.31
Complete Professional Recovery LLC,100
"Computer Credit, Inc.",92.190000000000012
"Concentric Receivables Management, Ltd.",96.39
Concerto Card Company,100
"Concord Enterprises, LLC",0
Concord Resolution Inc (Closed),28.000000000000004
Concord Servicing Corporation,100
"Concorde Auto Management, LLC  DBA  Concorde Auto Acceptance",100
"Concorde Land Title Services, Inc.",100
Conduent Incorporated,65.05
"Conn's, Inc.",99.38
"Consider It Collected, LLC",0
"Consolidated Auto Sales, Inc.",0
"Consolidated Credit Solutions, Inc.",100
"Consolidated Information Services Solutions, LLC",79.88
"Consolidated Management Group, LLC",77.78
"Consolidated Recovery Group, LLC",97.18
"Constantino Law Office, P.C.",100
"Constar Financial Services, LLC",93.81
"Construction Credit and Finance Group, LLC",0
"Consuegra & Duffy, P.L.L.C.",100
Consumer Adjustment Company Incorporated,98.460000000000008
Consumer Adjustment Corp USA,100
Consumer Asset Management (Texas),84.21
"Consumer Attorneys of America, P.A.",33.33
Consumer Collection Advocates,33.33
Consumer Collection Management. Inc,69.35
Consumer Counseling Centers LLC,100
Consumer Credit Counseling Service of San Francisco,100
"Consumer Credit Counseling Service of the Midwest, Inc.",83.33
"Consumer Credit Services, LLC",100
"Consumer Defense Group, LLC",0
"Consumer Education Services, Inc.",83.33
"Consumer Financial Debt Services, LLC",0
Consumer Financial Services,93.26
"Consumer Financial Services Solutions, Inc.",100
Consumer Information Bureau,100
"Consumer Portfolio Services, Inc.",99.36
Consumer Real Estate Finance Co.,80
Consumer Receivables Management LLC,100
"Consumer Recovery Solutions, LLC",0
Consumer Shield,28.57
Consumer Solutions Group,100
Consumers Alliance Processing Corporation,100
Contemporary Information Corp,100
Contemporary Recovery Solutions Inc.,100
"Continental Central Credit, Inc.",98.04
"Continental Collection Agency, Ltd.",100
Continental Credit Control,98.570000000000007
"Continental Credit, LLC",100
"Continental Currency Services, Inc.",100
Continental Finance Capital Corporation,100
"Continental Finance Company, LLC",98.52
"Continental Services Group, Inc. d/b/a ConServe",99.88
"Continental Title Holding Co., Inc.",100
Controlled Credit Corporation,96.67
"Convergence Acquisitions, LLC",75
"Convergent Resources, Inc.",99.929999999999993
Convergys,80.85
"Conville & Conville, PLLC",100
Cooling & Winter LLC,100
Cooper Hoffman Klein Associates,82
"Cope Enterprises, LLC",100
"Copper Lake Financial, LLC",100
Cordoba & Associates,50
Cordoza & Wexler Recovery Services,43.75
"Core Advisory Group, LLC",89.66
"Core Mortgage Services, LLC",100
"Core Recoveries, LLC",50
"CoreTitle, LLC",100
"Cornerstone First Mortgage, Inc.",100
"Cornerstone Holdings, Inc.",100
Cornerstone Home Lending Inc.,100
Cornerstone Home Mortgage,100
"Cornerstone Legal Group, LLC",20
Cornerstone Mediation LLC,33.33
Cornerstone Mitigation,11.110000000000001
"Cornerstone Mortgage Group, LLC",100
"Cornerstone Mortgage, LLC",100
"Corpra Care, Inc.",100
"Cortland Capital Group, LLC",100
Cosmo Credit Repair,0
Cottonwood Financial Ltd.,99
Couch Conville & Blitt LLC,100
Couch Lambert LLC,100
"Coulter Dove & Harris, PC",40
"Counsel Mortgage Group, LLC",100
Counselors Title LLC,100
CountryPlace Acceptance Corporation,87.18
Courtesy Finance LLC,100
Courtney & Camp,100
Covington Capital Corporation,100
Covington Pike Acceptance Company,100
Craig's Auto & RV Inc,100
"Crawford & von Keller, LLC",100
"Crawfordsville CCB, Inc.",100
"Creative Finance, Inc.",100
Credence Funding Corporation,66.67
"Credence Resource Management, LLC",99.38
Credential Acceptance Corporation,100
CrediautoUSA Financial Company LLC,25
Credible Labs Inc.,91.67
Credilife ...A Financial Wellness Company,100
Credimatico LLC,100
"Credit & Collection Recovery Services, Inc.",92.31
"Credit Adjustment Services of Harrisburg, Inc",87.5
"Credit Adjustment, Inc",100
Credit Adjustments Inc,94.57
Credit Advisors Foundation,100
"Credit Associates of Maui, LTD",61.9
"Credit Associates, Inc. (MO)",84.21
Credit Bureau Central Inc (MS),78.57
"Credit Bureau Central, Inc (NV)",70.83
"Credit Bureau Collection Services, Inc.",98.19
"Credit Bureau Data, Inc.",87.5
"Credit Bureau Financial Services, Inc.",0
Credit Bureau Services Association,99.24
Credit Bureau Services Inc.,100
Credit Bureau Services of Iowa Inc.,100
"Credit Bureau Services, LLC",100
"Credit Bureau Systems, Inc., Paducah, KY Branch",99.41
"Credit Bureau of Bessemer, Inc",86.960000000000008
"Credit Bureau of Canyon, Inc",100
Credit Bureau of Carbon County,91.84
"Credit Bureau of Columbia, Inc.",92.31
"Credit Bureau of Council Bluffs, Inc DBA Credit Information Systems",100
Credit Bureau of Havre,100
"Credit Bureau of Howell County, LLC",100
"Credit Bureau of Jamestown, Inc.",96.77
"Credit Bureau of Jonesboro, Inc.",100
"Credit Bureau of Lancaster County, Inc.",96.15
"Credit Bureau of Marianna, Inc",100
Credit Bureau of Northern California Collections Services Inc,100
Credit Bureau of San Luis Obispo & Santa Barbara Counties,85.71
"Credit Bureau of Traverse City, Inc.(Closed)",66.67
Credit Bureau of Twin Falls Inc,100
"Credit Bureau of York, Inc.",87.18
"Credit Bureau of the South, Inc.",95.16
Credit Card Acquisitions Group,88.78
Credit Card Receivables Fund Incorporated,98.52
"Credit Center, LLC",92.06
"Credit Central Holdings, LLC",91.18
"Credit Clearing House of America, Inc.",100
"Credit Collection Partners, Inc.",100
"Credit Collections Services, Inc.",66.67
"Credit Collections U.S.A., L.L.C.",13.58
Credit Connection LLC,100
"Credit Consulting Services, Inc.",88.41
"Credit Control Company, Inc.",89.47
"Credit Control, LLC",100
Credit Corp Solutions Inc.,99.81
Credit Council Corp,100
"Credit Counsel, Inc.",92.54
Credit Diva of Dallas Inc.,100
Credit Expert LLC,100
"Credit Financial Services, lnc",93.33
Credit Fresh Holdings Inc,100
Credit Glory LLC,100
"Credit Information Bureau, Inc.",100
Credit International Corporation,93.75
"Credit Karma, LLC",91.05
Credit Lending Services Inc.,85.71
"Credit Management Control, Inc.",99.13
"Credit Management Services, Inc.",95.83
Credit Management Systems,66.67
Credit Mount,100
Credit My Rent Inc,100
Credit One LLC,100
Credit Plus Inc,99.61
Credit Points 720,100
"Credit Protection Association, L.P.",90.56
Credit Quick,0
Credit Recovery Consultants,100
"Credit Regulating Services, Inc.",25
Credit Reporting Services LLC,100
"Credit Reporting Services, Inc.",0
"Credit Resolutions, LLC",95.65
Credit Restoration of Texas,100
Credit Sage LLC,100
Credit Service Company,80
"Credit Service Company, INC",98.75
Credit Service International Corp,77.42
Credit Service Repair,100
"Credit Service of Central Washington, Inc.",66.67
"Credit Service of Logan, Inc.",40
"Credit Service, Inc",78.13
"Credit Services Corporation, LLC",100
Credit Services of Michigan,100
"Credit Services, Inc.",100
"Credit Shop, Incorporated",72.72999999999999
Credit Solutions,0
Credit Solutions LLC,22.220000000000002
"Credit Solutions, LLC (KY)",98.440000000000012
Credit Star Funding,100
Credit Supreme LLC,100
"Credit Systems International, Inc.",97.11999999999999
"Credit Systems of the Fox Valley, Inc.",91.3
"Credit Technologies, Inc.",86.77
"Credit Technology, Inc.",98.11
"Credit Union Mortgage Association, Inc.",76.19
Credit Wise Recovery Solution LLC,2.04
Credit and Receivables Services Inc.,100
"CreditGUARD of America, Inc.",66.67
"CreditNinja Lending, LLC",93.62
CreditWorks LLC,100
"Creditech, Inc.",100
"Creditmax Collection Agency, Inc. d/b/a Creditmax, Inc.",50
"Credito Real USA Finance, LLC",81.45
Creditor Advocates Inc,100
"Creditor Claims of America, Inc.",90
"Creditor's Collection Service, Inc.",98.13
Creditors Bureau Associates,99.339999999999989
"Creditors Collection Bureau, Inc.",66.67
Creditors Service Bureau Inc,92.31
"Creditors Specialty Northwest, Inc.",100
Creditors Specialty Service Inc,23.080000000000002
"Creditors' Protection Service, Inc.",94.12
"Creditors' Service Bureau of Niles, Inc",66.67
"Creditrepair.com, Inc.",69.23
"Credits, Incorporated",100
Credova Holdings Inc,100
"Creekside Finance, Inc.",100
Creekside Recovery And Capital Management,100
"Crescent City Credit Recovery, Inc.",55.559999999999995
"Crimcheck Holdings, LLC",100
"Crimson Mortgage, Inc.",100
Critical Resolution Mediation LLC,39.81
"Cronheim & Larsson, LLC",0
Cross America Financial LLC,100
Cross Country Financial Corporation,100
"Cross State Motors, LLC",0
"CrossCheck, Inc.",98.53
CrossCountry Mortgage LLC,97.05
Crossman Portfolio Management,100
Crosspoint Financial Inc.,100
Crossroads Systems Inc.,98.18
"Crosstown Law, LLC",82.35
Crow Creek Sioux Tribe,94.57
"Crown Asset Management, LLC, Duluth, GA Branch",97.49
"Crown Holdings, LLC",85.71
Crown Mortgage Co.,100
"Crystal Motorsports, LLC",20
Cstone Mortgage Inc,90
"Cullimore & Coleman, PLC",100
"Cumberland Financial Services, INC.",100
Cumulus Funding LLC,100
Cunningham Law Inc.,100
"Curfin Holding Company, Inc",100
Curo Inc.,50
Currencies Direct Inc.,100
"Curtin Law Firm, P.C.",0
"Curtwright & Klein, LLC",83.33
Customer Service Mortgage Corporation,100
"Cuzco Capital Investment Management, LLC",100
Cycleone Financial Group,100
Cypress Collections,75
"Cypress Financial Recoveries, L.L.C., OCALA, FL Branch",100
"D&A Services, LLC",90.56
"D'Aquila, Contreras and Vega, A Professional Law Corporation",100
D. SCOTT CARRUTHERS,47.02
D.B.F. COLLECTION CORP.,14.29
"D.B.M.E., INC",62.5
"D.S. Erickson & Associates, PLLC",100
D2 Management LLC,92.54
DAIMLER TRUCK FINANCIAL SERVICES USA LLC,100
DARCARS AUTOMOTIVE  (Mariam Inc.),100
"DAS ACQUISITION COMPANY, LLC",87.5
DAS Inc,25
"DAVID W. EDWARDS, P.C.",100
DAVIDSON FINK LLP,100
"DApps Platform, Inc.",100
DCB Financial LLC,50
"DCI Credit Services, Inc.",87.5
DCN Holdings Inc.,53.73
DCQ LLC,51.06
"DCS Financial, Inc.",100
"DEBT 0, INC",100
DEBT CREDIT SERVICES,0
"DEBTWEBEX, LLC",0
DEEP SOUTH FINANCIAL SERVICES INC.,85.71
DELMAR FINANCIAL COMPANY,71.43
DEPENDABLE CREDIT CORP,60
DEPENDON COLLECTION SERVICE INC,100
DEVAL LLC,73.68
DFC Global Corp.,91.86
"DFI Funding, Inc.",100
"DHA FINANCIAL, INC.",100
DHI Mortgage Company,89.759999999999991
"DIME COMMUNITY BANCSHARES, INC.",100
"DIRECMANAGEMENT, INC.",100
DIRECT LENDERS LLC,66.67
"DISCOUNT BANCORP, INC.",100
DISCOVER BANK,99.929999999999993
DIXIE FINANCE COMPANY,50
"DK, Consulting, Inc dba Huntington Financial Services",100
"DLC, LLC",94.38
DLG LLC,0
DM Motors,66.67
DMA Financial Corp.,100
"DMB Financial, LLC",68
"DMEC Capital Services LLC, DBA Settle Our Debt",100
DMI America Inc,100
DOAN SOLUTIONS,100
"DOLEX DOLLAR EXPRESS, INC.",100
DOLLAR MUTUAL BANCORP,100
"DOUGLAS, KNIGHT & ASSOCIATES, INC.",75
"DPL Associates, Ltd.",100
DRAGAS MORTGAGE COMPANY,100
DRAPER AND KRAMER MORTGAGE CORP AND ECLIPSE MORTGAGE LLC,68.75
DRIVE NOW ACCEPTANCE LLC,100
"DRIVEiT Holdings, Inc.",50
DRS Financial LLC,100
"DSW Carolina, LLC d/b/a Resource Services",100
"DSW Mortgage, Inc.",100
DTA GROUP LLC,65
"DYNAMIC RECOVERY SERVICES, INC.",12.5
"Dadiwah 13 of Marietta, Inc.",100
"DailyPay, Inc",100
"Daiyaan, Inc",100
"Dakota Bluff Financial, LLC",100
"Dakota Financial, LLC",100
"Dalty Acquisitions, Inc.",100
"Dana & Pariser Co.,L.P.A.",80
"Danco Financial Services, LLC",50
"Daniels Norelli Scully & Cecere, P.C.",72.09
"Dant-Pacific, Ltd",66.67
Daramad LLC,100
"Darnel Quick Recovery, Inc.",88.89
Darwin Solutions Inc.,100
Data Check of America LLC,4.17
Data Line Credit Corp,81.25
Data Mortgage Inc.,98.33
"Data Search NY, Inc.",97.22
"Data and Contact Management Solutions, LLC",100
"Data-Central, LLC",30
DataMax Corporation,94.17
"Dave Operating, LLC",91.67
"David A. Bauer, P.C.",75
"David A. Gallo & Associates, LLP",66.67
"David B. Schumacher, P.C.",50
David Deep Law Offices,50
David E. Gray Attorney at Law LLC,100
David N. Hull Attorney at Law P.C.,50
"Davis & Amaral Mortgage Consultants, Inc.",100
"Davis and Goldmark, Inc.",100
"Davis, Pickren, Seydel & Sneed, LLP",0
"De Lage Landen Finance, LLC",100
"DeConcini McDonald Yetwin & Lacy, PC",100
"DeWitt Mortgage Services and Property Management, LLC",50
"Deal Depot, Inc.",100
Dealer Finance of Western Kentucky,100
"Dealer Funding, LLC",3.6999999999999997
"Dean Morris, L.L.P.",50
Dearden's,100
"Deason Title Agency, LLC",0
Deatrick & Spies PSC,100
Debt Co LLC,100
"Debt Collectors International, Inc.",57.14
"Debt Direct Portfolio Management, LLC",0
Debt Management Holdings LLC,80
Debt Management Incorporated,73.47
Debt Management Partners LLC,70
"Debt Recovery Pro ,LLC",100
"Debt Recovery Solutions of Ohio, Inc.",92.86
"Debt Recovery Solutions, LLC",100
Debt Recovery Specialists,100
"Debt Reduction Services, Inc.",100
Debt Relief Center,89.47
Debt Restoration Services,50
Debt Solutions Inc,100
Debt Solutions LLC,50
DebtEaze,100
"DebtHelp, Inc",100
"DebtWave Credit Counseling, Inc.",100
"Debtsy Holdings, Inc.",100
Deca Financial Services LLC (Closed),100
Dedicated Credit Repair,100
"Deinde Online Services, LLC",100
"Del Toro Loan Servicing, Inc",83.33
Delay Group DBA The Debt Management Group,100
Delbert Services,97.509999999999991
"Delev & Associates, LLC",33.33
"Delivery Financial Services, LLC",100
"Dellwo, Roberts & Scanlon, P.S.",0
"Delmarva Collections, Inc.",66.67
"Delray Capital, LLC",76.6
"Delta Management Associates, Inc.",99.570000000000007
"Delta Management Group, Inc.",50
"Delta Outsource Group, Inc.",100
Democracy Capital Corporation,0
"Demorest Group, LLC",100
"Denali Capital Holdings, LLC",100
Denefits LLC,94.740000000000009
"Dennis Dillon Auto Park and Truck Center, Inc.,",0
"Dennis P Lee P.C., L.L.O.",100
"Denovus Corporation, Ltd.",100
Derricka Harwell Enterprises,100
"Designed Receivable Solutions, Inc.",99.5
Deutsche Bank,85.71
Developers Mortgage Co.,100
Devgru Financial LLC,100
"Devon Clark Currency Exchange, Inc",100
"Devon Financial Services, Inc.",50
"Devor Mortgage Investment Corp, DBA Quality Home Mortgage",100
Diamond Advances LLC,100
Diamond Funding Corporation,25
"Diaz & Associates, Inc.",98.28
"Diaz Anselmo Lindberg, P.A.",100
"Dickinson Financial, LLC",100
Digital Currency Group Inc,100
Digital Currency Services Inc.,100
"Digital Media Solutions, LLC",100
"Digital Mortgage, LLC",100
DigniFi,89.74
"Dimand Law Offices, P.C.",100
Direct Account Management,100
Direct Capital,48.78
Direct Cash LLC,40
"Direct Home Loans, LLC",100
"Direct Lending Group, Inc",0
"Direct Mortgage Loans, LLC",100
"Direct Mortgage, Corp.",100
"Direct Recovery Services, LLC",56.120000000000005
DirectArms,100
Directors Financial Group,100
"Dirick, Inc.",100
Ditech Financial LLC,99.72
Diverse Financial Enterprises,30
Diverse Funding Associates LLC,98.94
Diversified Acceptance Corporation,24.490000000000002
"Diversified Adjustment Service, Inc.",99.15
Diversified Company,100
"Diversified Consultants, Inc.",99.49
Diversified Recovery Bureau LLC,98.18
Diversified Recovery Services Inc.,11.76
Dividend Finance Inc.,100
"Dobberstein Law Firm, LLC",88.89
"Doberman Credit & Collection Consultants, LLC",100
DocuPrep Xpress,100
DocuService,100
Docuservpro dba Simple Repayment,44.440000000000005
Dodge Enterprises Inc.,100
"Dolan Gaddi Lending, Inc.",0
"Dolliemac, LLC dba Elite Document Management Solutions",100
"Dominion Law Associates, P.L.L.C.",93.100000000000009
"Dominion Residential Mortgage, LLC, Fairfax, VA Branch",0
"Dominus Law and Recovery, LLC.",100
"Donald G. Karpowich, Attorney-at-Law, PC",100
Donna A Daniels Law Offices PC,50
Donna Armenta Law,100
"Donut, Inc.",100
"Doonan, Graves & Longoria",100
Doral Capital Corporation,0
"Dorough & Dorough, LLC",36.36
"Double Diamond-Delaware, Inc.",100
DoubleCheck Solutions,100
"Douglas L. Brooks, PC",100
"Douglas, Chancellor, Meyers and Associates, LLC",75
Douglass & Associates Co. LPA,100
"Dovenmuehle Mortgage, Inc.",96.009999999999991
"Dowler Law Firm, PLLC",100
"Downeast Capital, Inc.",0
"Doyle & Hoefs, LLC",100
"Dr.Skiptracer, LLC",100
"Drake, Meyers, & Associates",50
Dream Center Education Holdings,100
"Drees Company, Inc.",100
Dressman Benzinger LaVelle PSC,100
"Drew Eckl & Farnham, LLP",100
Drexel Mortgage Corporation,66.67
DriveTime,96.2
"Driver Holdings, LLC",100
Driveway Finance Corporation,100
"Duane C. Romanello, P.A., Inc.",100
Duane Morris LLP,90
"Duke Capital, LLC",100
"Duncan Solutions, lnc.",88.68
Dunlap Gardiner LLP,63.160000000000004
"Durango Credit and Collection Company, Inc.",25
"Durham & Durham, LLP",100
"Duvera Billing Services, LLC",95.45
"Dwight Financial, Inc.",100
"Dyck-O'Neal, Inc.",95.49
Dynamic Dedicated Financial Partnerships,40
"Dynamic Recovery Solutions, LLC",98.25
"Dynamic Strategies, Inc",100
E & C Finace Company Inc,100
"E MORTGAGE MANAGEMENT, LLC",90.48
E Mortgage,0
"E Mortgage Capital, Inc.",100
"E Z CASH OF DELAWARE, INC.",0
E*TRADE BANK,87.02
"E-Backgroundchecks.com, Inc.",93.55
"E. A. Uffman & Associates, Inc",94.289999999999992
"E. Margriet Langenberg, P.C.",100
EA Holdings Corp.,100
"EAGLE BANCORP, INC.",100
EAST WEST BANK,98.31
EASTERN BANKSHARES INC,100
"EAZZY CONSULTING GROUP, INC",100
"EBA,LLC",0
"ECMC GROUP, INC.",99.81
EDULOAN DOCS,100
EDvantage LLC,93.179999999999993
"EGL US, LLC",92.65
EIC Enterprises,75
EMBRACE HOME LOANS,95.04
"EMCC Holdings, LLC",100
"EMG ACQUISITION GROUP, LLC",73.08
"EMI Equity Mortgage, Inc.",50
"EMORY ENTERPRISES, LLC",21.43
"EMPIRE HOME MORTGAGE, INC.",100
EMPIRE MEDIATION SERVICES LLC,64.29
ENCORE CAPITAL GROUP INC.,99.88
"ENOVA INTERNATIONAL, INC.",99.81
ENRAMEX INC,100
ENSURE HOME LOANS LLC,100
ENTERPRISE FINANCIAL SERVICES CORP,100
"EOS Holdings, Inc.",99.350000000000009
EPA USA INC,40
"EQUIFAX, INC.",99.71
EQUITABLE MORTGAGE CORPORATION,100
"EQUITY HOME LENDERS, INC",100
EQUITY LOANS LLC,98.33
"EQUITY RESOURCES, INCORPORATED",100
ERC,99.74
ERI Financial Services,0
"ERNST, ARTMANN AND ASSOCIATES, INC.",50
"ERO LENDING,LLC",100
"ESCALLATE, LLC",100
ESM Enterprises,50
ETHOS LENDING LLC,93.33
"EULER HERMES UMA, INC.",75
EUSTIS MORTGAGE CORPORATION,100
"EVERETT ASSOCIATION OF CREDIT MEN, INC.",100
"EVERGREEN PROFESSIONAL RECOVERIES, INC.",99.339999999999989
EXCEL FINANCE COMPANY,100
EXECUTIVE FINANCIAL GROUP,100
"EXPERT GLOBAL SOLUTIONS, INC.",99.839999999999989
EZ FUNDINGS Inc.,100
EZ Finance Company,100
"EZ Loans, Inc.",100
"EZ Mortgages, Inc",100
"EZCORP, INC.",87.98
"Eagle Accounts Group, Inc.",98.05
Eagle Auto Credit Inc,100
Eagle Collection Corp.,40
"Eagle Creek Mortgage, LLC",100
"Eagle Financial Services, Inc.",100
"Eagle Home Mortgage, LLC",98.32
Eagle Phillips LLC,100
"Eagle Recovery Associates, Inc.",0
"Early Warning Services, LLC",99.850000000000009
Earm LLC,5.36
EarnUp Inc.,92.86
Earnest Inc.,96.460000000000008
"Easier Funding, LLC",100
East Coast Capital Corp,100
East Coast Funding Group,100
"Eastern Account Systems of Connecticut, Inc.",99.88
Eastern Asset Services LLC,77.78
Eastern Management Group LLC,83.33
Eastern Recovery Management Inc,100
"Eastern Revenue, Inc.",93.64
"Eastpoint Recovery Group, Inc",93.100000000000009
"Easy Finance, LLC",100
Eaton Group Attorneys LLC,66.67
Eblen Freed PC,100
Eburch Consulting INC,0
"Echelon Financial, Inc.",63.639999999999993
"Eckhoff & Massarelli, P.C.",100
"Economic Recovery Consultants, Inc",100
EdAid Limited,100
EdFinancial Services,99.31
Edco Bridge,100
Edge Home Finance Corporation,100
Edmonds & Logue PC,100
"Educational Funding Resources, Inc.",33.33
"Educational Loan Servicing, LLC",33.33
Educational Opportunity,100
Edward F Bukaty III,88.89
"Efficient Recovery Services, LLC",100
"Efron & Efron, Professional Corporation",0
"Egon Singerman, Attorney at Law",100
"Eisenberg, Gold & Agrawal, P.C.",100
"Eisenburg,Whitman and Associates",23.810000000000002
"Ekimoto & Morris, a Hawaii Limited Liability Law Company",0
"El Dorado Financial, Inc. DBA Omni Financial",100
El Paisano Motors Inc.,100
"Elderlife Financial Services, LLC",75
Electric Solidus LLC,100
Element Global Services,93.33
"Elevate Recoveries, LLC",93.04
Elite 1 Financial Services,100
Elite Debt Brokers,100
"Elite Financial Services, Inc (MA)",50
"Elite Financial Services, Inc.",76.32
Elite Mortgage Funding inc,100
Elite Recreational Finance,100
Elite Student Solutions,100
EliteCashWire.com Inc,100
"Elly, LLC",60
Elmview Management Services,0
Elsea Financial Services Inc.,100
"Eltman Law, P.C.",91.14
Embassy Loans,88.24
"Emerald AR Systems, LLC",75.86
"Emerald Canyon Capital, LLC",95.240000000000009
"Emerald Coast Collections, LLC",50
"Emerge Financial Services, Inc.",100
"Emergent Business Group, Inc.",100
Emergi-Cash,0
"Emmett L. Goodman, Jr., LLC",96.3
"Empire Acceptance Company, Inc.",100
"Empire Financial Services, Inc.",100
"Empire Home Loans, Inc.",100
Empire Mortgage (NV),100
Empire Resolutions Group,90.91
"Empower Finance, Inc.",100
"Empowerment Ventures, LLC",98.21
EnTrust Funding,87.5
"Encircle Collections, Inc.",80
"Endeavor Capital, LLC",60
Endpoint Resolution Services (ERS),100
"Enerson Law, LLC.",86.67
